features,ml,acc,ci,set,AOI_setting
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",XGBClassifier,0.61875,"(0.5861766873771719, 0.6513233126228282)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",ensemble,0.64,"(0.6080225586829738, 0.6719774413170262)",set_2,Title_para_questions
"('Flag',)",randomForest,0.635,"(0.603334998431357, 0.6666650015686431)",set_2,Title_para_questions
"('Flag',)",kNeigh,0.66,"(0.6225122418863656, 0.6974877581136345)",set_2,Title_para_questions
"('Flag',)",svc,0.615,"(0.5851533517441628, 0.6448466482558372)",set_2,Title_para_questions
"('Flag',)",logistic,0.6,"(0.5698797897433956, 0.6301202102566044)",set_2,Title_para_questions
"('Flag',)",logisticCV,0.58875,"(0.5583638020559366, 0.6191361979440634)",set_2,Title_para_questions
"('Flag',)",XGBClassifier,0.62625,"(0.596234153467728, 0.6562658465322719)",set_2,Title_para_questions
"('Flag',)",ensemble,0.61875,"(0.5879413845979733, 0.6495586154020268)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",randomForest,0.70625,"(0.6732973638190113, 0.7392026361809888)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",kNeigh,0.7275,"(0.69589392473061, 0.7591060752693901)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",svc,0.62875,"(0.5957822816573745, 0.6617177183426256)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",logistic,0.605,"(0.5749376100275649, 0.635062389972435)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",logisticCV,0.60125,"(0.5756593525651851, 0.6268406474348148)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",XGBClassifier,0.65,"(0.6233845387512227, 0.6766154612487774)",set_2,Title_para_questions
"(' AOI Name', 'Flag')",ensemble,0.64375,"(0.6104223573091537, 0.6770776426908464)",set_2,Title_para_questions
"('Text ID', 'Flag')",randomForest,0.6875,"(0.6572768143652082, 0.7177231856347918)",set_2,Title_para_questions
"('Text ID', 'Flag')",kNeigh,0.6675,"(0.6383826111277554, 0.6966173888722446)",set_2,Title_para_questions
"('Text ID', 'Flag')",svc,0.6275,"(0.5971782870113248, 0.6578217129886751)",set_2,Title_para_questions
"('Text ID', 'Flag')",logistic,0.58875,"(0.5596166099236723, 0.6178833900763276)",set_2,Title_para_questions
"('Text ID', 'Flag')",logisticCV,0.57125,"(0.5419125653022545, 0.6005874346977456)",set_2,Title_para_questions
"('Text ID', 'Flag')",XGBClassifier,0.63875,"(0.6097020515332142, 0.6677979484667859)",set_2,Title_para_questions
"('Text ID', 'Flag')",ensemble,0.64625,"(0.6171678447667094, 0.6753321552332906)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",randomForest,0.68875,"(0.6563449963838673, 0.7211550036161326)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",kNeigh,0.71375,"(0.6839836142365648, 0.7435163857634352)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",svc,0.5925,"(0.5598799831638475, 0.6251200168361526)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",logistic,0.59625,"(0.5649451817175916, 0.6275548182824083)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",logisticCV,0.5925,"(0.5674182612748053, 0.6175817387251947)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",XGBClassifier,0.6675,"(0.6373344372691675, 0.6976655627308325)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Flag')",ensemble,0.635,"(0.6049458791488801, 0.6650541208511199)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",randomForest,0.70375,"(0.674753437345044, 0.732746562654956)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",kNeigh,0.655,"(0.622859743648724, 0.6871402563512761)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",svc,0.61375,"(0.5861950641889359, 0.6413049358110642)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",logistic,0.5575,"(0.5317339105033012, 0.5832660894966988)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",logisticCV,0.56125,"(0.536954797955203, 0.5855452020447971)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",XGBClassifier,0.67625,"(0.6498466735538572, 0.7026533264461429)",set_2,Title_para_questions
"('Paragraph_Number', 'Flag')",ensemble,0.6375,"(0.6091876168844693, 0.6658123831155306)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",randomForest,0.72875,"(0.6974055076401001, 0.7600944923598999)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",kNeigh,0.70625,"(0.6807371728268963, 0.7317628271731038)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",svc,0.6275,"(0.5975909588499483, 0.6574090411500516)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",logistic,0.6125,"(0.5826908501653776, 0.6423091498346225)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",logisticCV,0.60875,"(0.5812944674132807, 0.6362055325867193)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",XGBClassifier,0.68625,"(0.6528999910121175, 0.7196000089878826)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Flag')",ensemble,0.67125,"(0.6401842901889665, 0.7023157098110335)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",randomForest,0.70375,"(0.6699999321715033, 0.7375000678284966)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",kNeigh,0.69125,"(0.6594332772812416, 0.7230667227187585)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",svc,0.6025,"(0.5777273702420065, 0.6272726297579936)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",logistic,0.56375,"(0.5329171909299019, 0.5945828090700981)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",logisticCV,0.5675,"(0.5379168388370202, 0.5970831611629798)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",XGBClassifier,0.66625,"(0.6343163108085209, 0.6981836891914791)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Flag')",ensemble,0.63625,"(0.6037301457540597, 0.6687698542459403)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",randomForest,0.74,"(0.7071786817373449, 0.7728213182626551)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",kNeigh,0.7125,"(0.683110718317542, 0.741889281682458)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",svc,0.60875,"(0.5780869474772776, 0.6394130525227224)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",logistic,0.60375,"(0.5734129210178445, 0.6340870789821555)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",logisticCV,0.59875,"(0.5681599886642411, 0.6293400113357589)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",XGBClassifier,0.66375,"(0.6347448667211503, 0.6927551332788496)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",ensemble,0.66875,"(0.6389669185130262, 0.6985330814869737)",set_2,Title_para_questions
"('Answer', 'Flag')",randomForest,0.6275,"(0.5948114776277627, 0.6601885223722372)",set_2,Title_para_questions
"('Answer', 'Flag')",kNeigh,0.67625,"(0.6486950641889359, 0.7038049358110642)",set_2,Title_para_questions
"('Answer', 'Flag')",svc,0.595,"(0.569065644300077, 0.620934355699923)",set_2,Title_para_questions
"('Answer', 'Flag')",logistic,0.56625,"(0.5390674146191144, 0.5934325853808856)",set_2,Title_para_questions
"('Answer', 'Flag')",logisticCV,0.5775,"(0.5509359515788832, 0.6040640484211168)",set_2,Title_para_questions
"('Answer', 'Flag')",XGBClassifier,0.6175,"(0.5864013037606455, 0.6485986962393546)",set_2,Title_para_questions
"('Answer', 'Flag')",ensemble,0.6125,"(0.5833229180728298, 0.6416770819271703)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",randomForest,0.70625,"(0.6754413845979733, 0.7370586154020268)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",kNeigh,0.705,"(0.6735634589461253, 0.7364365410538746)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",svc,0.5975,"(0.5726772536021528, 0.6223227463978472)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",logistic,0.5825,"(0.5570249524765778, 0.6079750475234222)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",logisticCV,0.585,"(0.5572686046969807, 0.6127313953030192)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",XGBClassifier,0.64125,"(0.6116175186681749, 0.670882481331825)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Flag')",ensemble,0.63875,"(0.6056994527934838, 0.6718005472065163)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",randomForest,0.6725,"(0.6422193011150273, 0.7027806988849726)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",kNeigh,0.685,"(0.658272708589577, 0.7117272914104231)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",svc,0.58125,"(0.5567307569802729, 0.6057692430197272)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",logistic,0.57625,"(0.5494263978953519, 0.6030736021046482)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",logisticCV,0.5725,"(0.5463128993648066, 0.5986871006351934)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",XGBClassifier,0.615,"(0.5891712836625846, 0.6408287163374153)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Flag')",ensemble,0.62125,"(0.595475471103572, 0.6470245288964279)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",randomForest,0.6825,"(0.6504953653245736, 0.7145046346754264)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",kNeigh,0.7225,"(0.6933058853323673, 0.7516941146676328)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",svc,0.5925,"(0.5637260898399987, 0.6212739101600013)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",logistic,0.5975,"(0.5691700642584091, 0.625829935741591)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",logisticCV,0.5775,"(0.5497910211546922, 0.6052089788453078)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",XGBClassifier,0.63125,"(0.5990604806004751, 0.6634395193995248)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Flag')",ensemble,0.64625,"(0.6165337576889106, 0.6759662423110894)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",randomForest,0.68125,"(0.6443814886678371, 0.718118511332163)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",kNeigh,0.71375,"(0.6846166099236723, 0.7428833900763276)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",svc,0.6025,"(0.57443450628456, 0.63056549371544)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",logistic,0.60125,"(0.572676546927756, 0.6298234530722439)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",logisticCV,0.60375,"(0.5762040860229539, 0.6312959139770461)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",XGBClassifier,0.65375,"(0.6201475467561179, 0.6873524532438822)",set_2,Title_para_questions
"('Paragraph_Number', 'Answer', 'Flag')",ensemble,0.6225,"(0.5925909588499484, 0.6524090411500517)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",randomForest,0.71,"(0.6781003817268383, 0.7418996182731616)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",kNeigh,0.70125,"(0.6709457112229081, 0.7315542887770919)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",svc,0.615,"(0.5849458791488801, 0.6450541208511199)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",logistic,0.5625,"(0.534853883932776, 0.590146116067224)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",logisticCV,0.565,"(0.537584102965326, 0.5924158970346739)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",XGBClassifier,0.64625,"(0.6131693846258216, 0.6793306153741784)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",ensemble,0.63625,"(0.6045036640212925, 0.6679963359787074)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",randomForest,0.73375,"(0.704117518668175, 0.7633824813318251)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",kNeigh,0.70875,"(0.6786184452252545, 0.7388815547747455)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",svc,0.61875,"(0.593978624457118, 0.643521375542882)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",logistic,0.59375,"(0.5631437422254216, 0.6243562577745784)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",logisticCV,0.585,"(0.553492380129224, 0.616507619870776)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",XGBClassifier,0.64625,"(0.6159129210178445, 0.6765870789821555)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",ensemble,0.63125,"(0.6006437422254216, 0.6618562577745783)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",randomForest,0.72,"(0.6856178928127084, 0.7543821071872916)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",kNeigh,0.70375,"(0.6745399261584493, 0.7329600738415507)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",svc,0.6175,"(0.5870066301680271, 0.647993369831973)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",logistic,0.6025,"(0.5720964247862523, 0.6329035752137477)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",logisticCV,0.59,"(0.5622238260543765, 0.6177761739456235)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",XGBClassifier,0.6425,"(0.6134253240580002, 0.6715746759419997)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",ensemble,0.65625,"(0.6273135027904984, 0.6851864972095016)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",randomForest,0.6925,"(0.66030179494547, 0.72469820505453)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",kNeigh,0.66,"(0.6296578007492832, 0.6903421992507168)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",svc,0.6125,"(0.5839689851966909, 0.6410310148033092)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",logistic,0.58125,"(0.5520995516538502, 0.6104004483461499)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",logisticCV,0.5575,"(0.5319762150156793, 0.5830237849843207)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",XGBClassifier,0.64625,"(0.6149055076401001, 0.6775944923598999)",set_2,Title_para_questions
"('Difficulty_1', 'Flag')",ensemble,0.62875,"(0.5979252533760279, 0.6595747466239722)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",randomForest,0.715,"(0.6842509416173063, 0.7457490583826937)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",kNeigh,0.6925,"(0.665555052271675, 0.719444947728325)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",svc,0.61,"(0.5798220802415184, 0.6401779197584816)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",logistic,0.62625,"(0.599988260023259, 0.652511739976741)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",logisticCV,0.6,"(0.5748242940649356, 0.6251757059350643)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",XGBClassifier,0.6575,"(0.6287260898399987, 0.6862739101600013)",set_2,Title_para_questions
"(' AOI Name', 'Difficulty_1', 'Flag')",ensemble,0.68,"(0.6504378510998908, 0.7095621489001093)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",randomForest,0.7175,"(0.6866420093629482, 0.7483579906370519)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",kNeigh,0.69875,"(0.6686101973486134, 0.7288898026513866)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",svc,0.5925,"(0.56394286187536, 0.62105713812464)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",logistic,0.61125,"(0.5832920946779132, 0.6392079053220867)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",logisticCV,0.605,"(0.5759895113670161, 0.6340104886329838)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",XGBClassifier,0.635,"(0.6068681627350928, 0.6631318372649072)",set_2,Title_para_questions
"('Text ID', 'Difficulty_1', 'Flag')",ensemble,0.63625,"(0.6045036640212925, 0.6679963359787074)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",randomForest,0.7025,"(0.667462663833936, 0.737537336166064)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",kNeigh,0.70375,"(0.6765217334081961, 0.7309782665918039)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",svc,0.595,"(0.5669921311448973, 0.6230078688551026)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",logistic,0.60125,"(0.5693864391680934, 0.6331135608319065)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",logisticCV,0.5875,"(0.5560674124820845, 0.6189325875179156)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",XGBClassifier,0.6475,"(0.6170964247862523, 0.6779035752137477)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",ensemble,0.65875,"(0.627844723563079, 0.6896552764369209)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",randomForest,0.73625,"(0.7033880021510545, 0.7691119978489455)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",kNeigh,0.68625,"(0.6572877452031335, 0.7152122547968666)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",svc,0.59,"(0.5648045561505474, 0.6151954438494526)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",logistic,0.61375,"(0.5864215035260663, 0.6410784964739338)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",logisticCV,0.585,"(0.5586473212500894, 0.6113526787499105)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",XGBClassifier,0.6575,"(0.6278748590214317, 0.6871251409785682)",set_2,Title_para_questions
"('Paragraph_Number', 'Difficulty_1', 'Flag')",ensemble,0.6525,"(0.625982777013529, 0.6790172229864709)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",randomForest,0.70875,"(0.6774055076401001, 0.7400944923598999)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",kNeigh,0.665,"(0.6359552604830297, 0.6940447395169703)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",svc,0.6,"(0.5724664958715859, 0.627533504128414)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logistic,0.66375,"(0.636060089412071, 0.6914399105879289)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logisticCV,0.65375,"(0.6267049212023056, 0.6807950787976945)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",XGBClassifier,0.63625,"(0.6110508570127611, 0.6614491429872389)",set_2,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",ensemble,0.6775,"(0.648821267671594, 0.706178732328406)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",randomForest,0.7475,"(0.7182208702581974, 0.7767791297418027)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",kNeigh,0.7,"(0.6694699721265412, 0.7305300278734587)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",svc,0.6075,"(0.5818305578412489, 0.6331694421587512)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logistic,0.61625,"(0.5882121957620047, 0.6442878042379953)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logisticCV,0.6,"(0.5736190407782599, 0.6263809592217401)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",XGBClassifier,0.66875,"(0.6404650646690269, 0.697034935330973)",set_2,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",ensemble,0.66875,"(0.6381437422254216, 0.6993562577745783)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",randomForest,0.73625,"(0.7039602555205846, 0.7685397444794153)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",kNeigh,0.71625,"(0.6853447235630791, 0.747155276436921)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",svc,0.615,"(0.5882262505475441, 0.6417737494524559)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logistic,0.6325,"(0.6018035283503863, 0.6631964716496136)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",logisticCV,0.615,"(0.5862131354264243, 0.6437868645735757)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",XGBClassifier,0.685,"(0.6543724318528769, 0.7156275681471232)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",ensemble,0.69,"(0.6606149472954302, 0.7193850527045696)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",randomForest,0.66875,"(0.6375406052759411, 0.6999593947240588)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",kNeigh,0.6825,"(0.6518846073922755, 0.7131153926077245)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",svc,0.61125,"(0.5819889152942838, 0.6405110847057162)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",logistic,0.585,"(0.5531003817268383, 0.6168996182731616)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",logisticCV,0.5875,"(0.5583229180728297, 0.6166770819271703)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",XGBClassifier,0.64,"(0.6117359428122067, 0.6682640571877934)",set_2,Title_para_questions
"('Answer', 'Difficulty_1', 'Flag')",ensemble,0.6475,"(0.6196567931181527, 0.6753432068818472)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",randomForest,0.685,"(0.649662454368504, 0.7203375456314961)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",kNeigh,0.725,"(0.6950868039508312, 0.7549131960491687)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",svc,0.61625,"(0.5900451088100007, 0.6424548911899992)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",logistic,0.5825,"(0.5523344372691675, 0.6126655627308325)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",logisticCV,0.57375,"(0.5446592993598598, 0.6028407006401402)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",XGBClassifier,0.665,"(0.630661295447962, 0.6993387045520381)",set_2,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",ensemble,0.63,"(0.6007336067757616, 0.6592663932242384)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",randomForest,0.685,"(0.6527902177154965, 0.7172097822845036)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",kNeigh,0.68,"(0.6530781235557482, 0.7069218764442519)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",svc,0.5975,"(0.567260370846236, 0.627739629153764)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",logistic,0.56625,"(0.5368702343738129, 0.5956297656261872)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",logisticCV,0.56375,"(0.5350030969512789, 0.592496903048721)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",XGBClassifier,0.635,"(0.6037299378272116, 0.6662700621727884)",set_2,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",ensemble,0.62125,"(0.5908311001451405, 0.6516688998548594)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",randomForest,0.69,"(0.653965943839719, 0.7260340561602809)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",kNeigh,0.69375,"(0.6645995516538501, 0.7229004483461499)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",svc,0.59875,"(0.5737489081664326, 0.6237510918335674)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",logistic,0.59,"(0.5636002039609924, 0.6163997960390075)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",logisticCV,0.5775,"(0.5507030517307382, 0.6042969482692618)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",XGBClassifier,0.6325,"(0.602624218844835, 0.6623757811551649)",set_2,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",ensemble,0.65625,"(0.627529047670221, 0.684970952329779)",set_2,Title_para_questions
